unesco_id,site_name,category,region,country,latitude,longitude,brief_description,ouv_statement,criteria,confidence_v2,score_v2,stone_count_v2,stone_types_found_v2,stone_geological_class_v2,named_trade_stones_v2,decorative_minerals_v2,construction_terms_v2,architectural_elements_v2,matched_title_terms_v2,matched_categories_v2,unesco_url
669,Routes of Santiago de Compostela: Camino Francés and Routes of Northern Spain,Cultural,Europe and North America,Spain,,,"A network of four Christian pilgrimage routes in northern Spain, the site is an extension of the Route of Santiago de Compostela, a serial site inscribed on the World Heritage List in 1993. The extension represents a network of almost 1,500 km: coastal, interior of the Basque Country–La Rioja, Liébana and primitive routes. It includes a built heritage of historical importance created to meet the needs of pilgrims, including cathedrals, churches, hospitals, hostels and even bridges. The extension encompasses some of the earliest pilgrimage routes to Santiago de Compostela, following the discovery in the 9thcentury of a tomb believed to be that of St. James the Greater.",,(ii)(iv)(vi),MEDIUM,7,0,,,,,,bridge; cathedral; church; tomb,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/669
945,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),Cultural,Asia and the Pacific,India,,,"The Chhatrapati Shivaji Terminus, formerly known as Victoria Terminus Station, in Mumbai, is an outstanding example of Victorian Gothic Revival architecture in India, blended with themes deriving from Indian traditional architecture. The building, designed by the British architect F. W. Stevens, became the symbol of Bombay as the ‘Gothic City’ and the major international mercantile port of India. The terminal was built over 10 years, starting in 1878, according to a High Victorian Gothic design based on late medieval Italian models. Its remarkable stone dome, turrets, pointed arches and eccentric ground plan are close to traditional Indian palace architecture. It is an outstanding example of the meeting of two cultures, as British architects worked with Indian craftsmen to include Indian architectural tradition and idioms thus forging a new style unique to Bombay.","Criterion (ii): Chhatrapati Shivaji Terminus of Mumbai (formerly Bombay) exhibits an important interchange of influences from Victorian Italianate Gothic Revival architecture, and from Indian traditional buildings. It became a symbol for Mumbai as a major mercantile port city on the Indian Subcontinent within the British Commonwealth.
Criterion (iv): Chhatrapati Shivaji Terminus is an outstanding example of late 19th century railway architecture in the British Commonwealth, characterized by Victorian Gothic Revival and traditional Indian features, as well as its advanced structural and technical solutions.",(ii)(iv),MEDIUM,7,0,,,,,turret,arch; base; dome; palace; turret,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/945
1605,"Jaipur City, Rajasthan",Cultural,Asia and the Pacific,India,,,"The walled city of Jaipur, in India’s north-western state of Rajasthan was founded in 1727 by Sawai Jai Singh II. Unlike other cities in the region located in hilly terrain, Jaipur was established on the plain and built according to a grid plan interpreted in the light of Vedic architecture. The streets feature continuous colonnaded businesses that intersect in the centre, creating large public squares called chaupars. Markets, shops, residences and temples built along the main streets have uniform facades. The city's urban planning shows an exchange of ideas from ancient Hindu and early modern Mughal as well as Western cultures. The grid plan is a model that prevails in the West, while the organization of the different city sectors (chowkris) refers to traditional Hindu concepts. Designed to be a commercial capital, the city has maintained its local commercial, artisanal and cooperative traditions to this day.",,(ii)(iv)(vi),MEDIUM,7,0,,,,,capital,capital; facade; temple,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/1605
345,Historic Fortified City of Carcassonne,Cultural,Europe and North America,France,,,"Since the pre-Roman period, a fortified settlement has existed on the hill where Carcassonne now stands. In its present form it is an outstanding example of a medieval fortified town, with its massive defences encircling the castle and the surrounding buildings, its streets and its fine Gothic cathedral. Carcassonne is also of exceptional importance because of the lengthy restoration campaign undertaken by Viollet-le-Duc, one of the founders of the modern science of conservation.","The Committee decided to inscribe this property on the basis of criteria (ii) and (iv), considering that the historic town of Carcassonne is an excellent example of a medieval fortified town whose massive defences were constructed on walls dating from Late Antiquity. It is of exceptional importance by virtue of the restoration work carried out in the second half of the 19th century by Viollet-le-Duc, which had a profound influence on subsequent developments in conservation principles and practice.",(ii)(iv),MEDIUM,7,0,,,,,,castle; cathedral; wall,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/345
604,Historic Monuments of Novgorod and Surroundings,Cultural,Europe and North America,Russian Federation,,,"Situated on the ancient trade route between Central Asia and northern Europe, Novgorod was Russia's first capital in the 9th century. Surrounded by churches and monasteries, it was a centre for Orthodox spirituality as well as Russian architecture. Its medieval monuments and the 14th-century frescoes of Theophanes the Greek (Andrei Rublev's teacher) illustrate the development of its remarkable architecture and cultural creativity.",,(ii)(iv)(vi),MEDIUM,7,0,,,,,capital,capital; church; monastery,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/604
583,Fortress of Suomenlinna,Cultural,Europe and North America,Finland,,,"Built in the second half of the 18th century by Sweden on a group of islands located at the entrance of Helsinki's harbour, this fortress is an especially interesting example of European military architecture of the time.",,(iv),HIGH,7,0,,,,,,fortress,fortress,Criterion_iv; Title_Stone_Keyword,https://whc.unesco.org/en/list/583
430,Frontiers of the Roman Empire,Cultural,Europe and North America,"Germany,United Kingdom of Great Britain and Northern Ireland",,,"The ‘Roman Limes’ represents the border line of the Roman Empire at its greatest extent in the 2nd century AD. It stretched over 5,000 km from the Atlantic coast of northern Britain, through Europe to the Black Sea, and from there to the Red Sea and across North Africa to the Atlantic coast. The remains of the Limes today consist of vestiges of built walls, ditches, forts, fortresses, watchtowers and civilian settlements. Certain elements of the line have been excavated, some reconstructed and a few destroyed. The two sections of the Limes in Germany cover a length of 550 km from the north-west of the country to the Danube in the south-east. The 118-km-long Hadrian’s Wall (UK) was built on the orders of the Emperor Hadrian c. AD 122 at the northernmost limits of the Roman province of Britannia. It is a striking example of the organization of a military zone and illustrates the defensive techniques and geopolitical strategies of ancient Rome. The Antonine Wall, a 60-km long fortification in Scotland was started by Emperor Antonius Pius in 142 AD as a defense against the “barbarians” of the north. It constitutes the northwestern-most portion of the Roman Limes.",,(ii)(iii)(iv),MEDIUM,7,0,,,,,,fort; fortress; wall,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/430
1155,Old town of Regensburg with Stadtamhof,Cultural,Europe and North America,Germany,,,"Located on the Danube River in Bavaria, this medieval town contains many buildings of exceptional quality that testify to its history as a trading centre and to its influence on the region from the 9th century. A notable number of historic structures span some two millennia and include ancient Roman, Romanesque and Gothic buildings. Regensburg&rsquo;s 11th- to 13th-century architecture &ndash; including the market, city hall and cathedral &ndash; still defines the character of the town marked by tall buildings, dark and narrow lanes, and strong fortifications. The buildings include medieval patrician houses and towers, a large number of churches and monastic ensembles as well as the 12th-century Old Bridge. The town is also remarkable for the vestiges testifing to its rich history as one of the centres of the Holy Roman Empire that turned to Protestantism.",,(ii)(iii)(iv),MEDIUM,7,0,,,,,,bridge; cathedral; church; tower,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/1155
579,Bronze Age Burial Site of Sammallahdenmäki,Cultural,Europe and North America,Finland,,,"This Bronze Age burial site features more than 30 granite burial cairns, providing a unique insight into the funerary practices and social and religious structures of northern Europe more than three millennia ago.","Criterion (iii): The Sammallahdenm&auml;ki cairn cemetery bears exceptional witness to the society of the Bronze Age of Scandinavia.
Criterion (iv): The Sammallahdenm&auml;ki cemetery is an outstanding example of Bronze Age funerary practices in Scandinavia.",(iii)(iv),MEDIUM,7,1,granite,Igneous,,,,,,Criterion_iv; OUV_Stone,https://whc.unesco.org/en/list/579
657,Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,Cultural,Europe and North America,Russian Federation,,,"This is a fine example of a working Orthodox monastery, with military features that are typical of the 15th to the 18th century, the period during which it developed. The main church of the Lavra, the Cathedral of the Assumption (echoing the Kremlin Cathedral of the same name), contains the tomb of Boris Godunov. Among the treasures of the Lavra is the famous icon, The Trinity , by Andrei Rublev.",,(ii)(iv),MEDIUM,7,0,,,,,,cathedral; church; monastery; tomb,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/657
1444,Pyu Ancient Cities,Cultural,Asia and the Pacific,Myanmar,,,"Pyu Ancient Cities includes the remains of three brick, walled and moated cities of Halin, Beikthano and Sri Ksetra located in vast irrigated landscapes in the dry zone of the Ayeyarwady (Irrawaddy) River basin. They reflect the Pyu Kingdoms that flourished for over 1,000 years between 200 BC and AD 900. The three cities are partly excavated archaeological sites. Remains include excavated palace citadels, burial grounds and manufacture sites, as well as monumental brick Buddhist stupas, partly standing walls and water management features – some still in use – that underpinned the organized intensive agriculture.",,(ii)(iii)(iv),MEDIUM,7,0,,,,,,palace; stupa; wall,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/1444
1401,"Rabat, Modern Capital and Historic City: a Shared Heritage",Cultural,Arab States,Morocco,,,"Located on the Atlantic coast in the north-west of Morocco, the site is the product of a fertile exchange between the Arabo-Muslim past and Western modernism. The inscribed city encompasses the new town conceived and built under the French Protectorate from 1912 to the 1930s, including royal and administrative areas, residential and commercial developments and the Jardins d’Essais botanical and pleasure gardens. It also encompasses older parts of the city dating back to the 12thcentury. The new town is one of the largest and most ambitious modern urban projects built in Africa in the 20th century and probably the most complete. The older parts include Hassan Mosque (begun in 1184) and the Almohad ramparts and gates, the only surviving parts of the project for a great capital city of the Almohad caliphate as well as remains from the Moorish, or Andalusian, principality of the 17thcentury.",,(ii)(iv),MEDIUM,7,0,,,,,capital,capital; gate; mosque,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/1401
251,Agra Fort,Cultural,Asia and the Pacific,India,,,"Near the gardens of the Taj Mahal stands the important 16th-century Mughal monument known as the Red Fort of Agra. This powerful fortress of red sandstone encompasses, within its 2.5-km-long enclosure walls, the imperial city of the Mughal rulers. It comprises many fairy-tale palaces, such as the Jahangir Palace and the Khas Mahal, built by Shah Jahan; audience halls, such as the Diwan-i-Khas; and two very beautiful mosques.",,(iii),HIGH,7,2,red sandstone; sandstone,Sedimentary,,,,fort; fortress; mosque; palace; wall,,OUV_Stone; OUV_ArchElements,https://whc.unesco.org/en/list/251
586,Rohtas Fort,Cultural,Asia and the Pacific,Pakistan,,,"Following his defeat of the Mughal emperor Humayun in 1541, Sher Shah Suri built a strong fortified complex at Rohtas, a strategic site in the north of what is now Pakistan. It was never taken by storm and has survived intact to the present day. The main fortifications consist of the massive walls, which extend for more than 4 km; they are lined with bastions and pierced by monumental gateways. Rohtas Fort, also called Qila Rohtas, is an exceptional example of early Muslim military architecture in Central and South Asia.","The Committee decided to inscribe this property on the basis of criteria (ii) and (iv), considering that the Rohtas Fort is an exceptional example of the Muslim military architecture of central and south Asia, which blends architectural and artistic traditions from Turkey and the Indian sub-continent to create the model for Mughal architecture and its subsequent refinements and adaptations.",(ii)(iv),MEDIUM,7,0,,,,,,fort; gateway; wall,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/586
1599,Krzemionki Prehistoric Striped Flint Mining Region,Cultural,Europe and North America,Poland,,,"Located in the mountain region of Świętokrzyskie, Krzemionki is an ensemble of four mining sites, dating from the Neolithic to the Bronze Age (about 3900 to 1600 BCE), dedicated to the extraction and processing of striped flint, which was mainly used for axe-making. With its underground mining structures, flint workshops and some 4,000 shafts and pits, the property features one of the most comprehensive prehistoric underground flint extraction and processing systems identified to date. The property provides information about life and work in prehistoric settlements and bears witness to an extinct cultural tradition. It is an exceptional testimony of the importance of the prehistoric period and of flint mining for tool production in human history.",,(iii)(iv),MEDIUM,7,1,flint,Sedimentary,,,,shaft,,Criterion_iv; OUV_Stone,https://whc.unesco.org/en/list/1599
492,Taos Pueblo,Cultural,Europe and North America,United States of America,,,"Situated in the valley of a small tributary of the Rio Grande, this adobe settlement – consisting of dwellings and ceremonial buildings – represents the culture of the Pueblo Indians of Arizona and New Mexico.",,(iv),MEDIUM,7,1,adobe,Sedimentary,,,,,,Criterion_iv; OUV_Stone,https://whc.unesco.org/en/list/492
234,Churches and Convents of Goa,Cultural,Asia and the Pacific,India,,,"The churches and convents of Goa, the former capital of the Portuguese Indies – particularly the Church of Bom Jesus, which contains the tomb of St Francis-Xavier – illustrate the evangelization of Asia. These monuments were influential in spreading forms of Manueline, Mannerist and Baroque art in all the countries of Asia where missions were established.",,(ii)(iv)(vi),MEDIUM,7,0,,,,,capital,capital; church; tomb,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/234
1189,"Harar Jugol, the Fortified Historic Town",Cultural,Africa,Ethiopia,,,"The fortified historic town of Harar is located in the eastern part of the country on a plateau with deep gorges surrounded by deserts and savannah. The walls surrounding this sacred Muslim city were built between the 13th and 16th centuries. Harar Jugol, said to be the fourth holiest city of Islam, numbers 82 mosques, three of which date from the 10th century, and 102 shrines, but the townhouses with their exceptional interior design constitute the most spectacular part of Harar's cultural heritage. The impact of African and Islamic traditions on the development of the town's building types and urban layout make for its particular character and uniqueness.",,(ii)(iii)(iv)(v),MEDIUM,7,0,,,,,,mosque; shrine; wall,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/1189
942,The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,Cultural,Europe and North America,Greece,,,"The small island of P&aacute;tmos in the Dodecanese is reputed to be where St John the Theologian wrote both his Gospel and the Apocalypse. A monastery dedicated to the &lsquo;beloved disciple&rsquo; was founded there in the late 10th century and it has been a place of pilgrimage and Greek Orthodox learning ever since. The fine monastic complex dominates the island. The old settlement of Chor&aacute;, associated with it, contains many religious and secular buildings.","Criterion (iii): The town of Chor&aacute; on the island of P&aacute;tmos is one of the few settlements in Greece that have evolved uninterruptedly since the 12th century. There are few other places in the world where religious ceremonies that date back to the early Christian times are still being practised unchanged.
 Criterion (iv): The Monastery of Hagios Ioannis Theologos (Saint John the Theologian) and the Cave of the Apocalypse on the island of P&aacute;tmos, together with the associated medieval settlement of Chor&aacute;, constitute an exceptional example of a traditional Greek Orthodox pilgrimage centre of outstanding architectural interest.
Criterion (vi): The Monastery of Hagios Ioannis Theologos and the Cave of the Apocalypse commemorate the site where St John the Theologian (Divine), the &ldquo;Beloved Disciple&rdquo;, composed two of the most sacred Christian works, his Gospel and the Apocalypse.",(iii)(iv)(vi),HIGH,7,0,,,,,,monastery,cave,Criterion_iv; Title_Stone_Keyword,https://whc.unesco.org/en/list/942
780,Archaeological Site of Aigai (modern name Vergina),Cultural,Europe and North America,Greece,,,"The city of Aigai, the ancient first capital of the Kingdom of Macedonia, was discovered in the 19th century near Vergina, in northern Greece. The most important remains are the monumental palace, lavishly decorated with mosaics and painted stuccoes, and the burial ground with more than 300 tumuli, some of which date from the 11th century B.C. One of the royal tombs in the Great Tumulus is identified as that of Philip II, who conquered all the Greek cities, paving the way for his son Alexander and the expansion of the Hellenistic world.","The Committee decided to inscribe the nominated property on the basis of cultural criteria (i) and (iii) considering that the site is of outstanding universal value representing an exceptional testimony to a significant development in European civilization, at the transition from classical city-state to the imperial structure of the Hellenistic and Roman periods. This is vividly demonstrated in particular by the remarkable series of royal tombs and their rich contents. The Committee decided to add to the proposed criteria cultural criterion (i), since the paintings found at Vergina are of extraordinarily high quality and historical importance.",(i)(iii),MEDIUM,7,0,,,,,capital,capital; palace; tomb,,Criterion_i; OUV_Materials; OUV_ArchElements,https://whc.unesco.org/en/list/780
1264,Jeju Volcanic Island and Lava Tubes,Natural,Asia and the Pacific,Republic of Korea,,,"Jeju Volcanic Island and Lava Tubes together comprise three sites that make up 18,846 ha. It includes Geomunoreum, regarded as the finest lava tube system of caves anywhere, with its multicoloured carbonate roofs and floors, and dark-coloured lava walls; the fortress-like Seongsan Ilchulbong tuff cone, rising out of the ocean, a dramatic landscape; and Mount Halla, the highest in Korea, with its waterfalls, multi-shaped rock formations, and lake-filled crater. The site, of outstanding aesthetic beauty, also bears testimony to the history of the planet, its features and processes.",,(vii)(viii),HIGH,7,2,lava; tuff,Igneous,,,,floor; fortress; roof; wall,,OUV_Stone; OUV_ArchElements,https://whc.unesco.org/en/list/1264
493,Medieval City of Rhodes,Cultural,Europe and North America,Greece,,,"The Order of St John of Jerusalem occupied Rhodes from 1309 to 1523 and set about transforming the city into a stronghold. It subsequently came under Turkish and Italian rule. With the Palace of the Grand Masters, the Great Hospital and the Street of the Knights, the Upper Town is one of the most beautiful urban ensembles of the Gothic period. In the Lower Town, Gothic architecture coexists with mosques, public baths and other buildings dating from the Ottoman period.",,(ii)(iv)(v),MEDIUM,7,0,,,,,,bath; mosque; palace,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/493
1114,Yin Xu,Cultural,Asia and the Pacific,China,,,"The archaeological site of Yin Xu, close to Anyang City, some 500 km south of Beijing, is an ancient capital city of the late Shang Dynasty (1300 - 1046 BC). It testifies to the golden age of early Chinese culture, crafts and sciences, a time of great prosperity of the Chinese Bronze Age. A number of royal tombs and palaces, prototypes of later Chinese architecture, have been unearthed on the site, including the Palace and Royal Ancestral Shrines Area, with more than 80 house foundations, and the only tomb of a member of the royal family of the Shang Dynasty to have remained intact, the Tomb of Fu Hao. The large number and superb craftsmanship of the burial accessories found there bear testimony to the advanced level of Shang crafts industry. Inscriptions on oracle bones found in Yin Xu bear invaluable testimony to the development of one of the world’s oldest writing systems, ancient beliefs and social systems.",,(ii)(iii)(iv)(vi),MEDIUM,7,0,,,,,capital,capital; foundation; palace; tomb,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/1114
32,Wieliczka and Bochnia Royal Salt Mines,Cultural,Europe and North America,Poland,,,"The deposit of rock salt in Wieliczka and Bochnia has been mined since the 13th century. This major industrial undertaking has royal status and is the oldest of its type in Europe. The site is a serial property consisting of Wieliczka and Bochnia salt mines and Wieliczka Saltworks Castle. The Wieliczka and Bochnia Royal Salt Mines illustrate the historic stages of the development of mining techniques in Europe from the 13th to the 20th centuries: both mines have hundreds of kilometers of galleries with works of art, underground chapels and statues sculpted in the salt, making a fascinating pilgrimage into the past. The mines were administratively and technically run by Wieliczka Saltworks Castle, which dates from the medieval period and has been rebuilt several times in the course of its history.",,(iv),MEDIUM,7,1,rock salt,Sedimentary,,,,castle; gallery,,Criterion_iv; OUV_Stone,https://whc.unesco.org/en/list/32
546,Maulbronn Monastery Complex,Cultural,Europe and North America,Germany,,,"Founded in 1147, the Cistercian Maulbronn Monastery is considered the most complete and best-preserved medieval monastic complex north of the Alps. Surrounded by fortified walls, the main buildings were constructed between the 12th and 16th centuries. The monastery's church, mainly in Transitional Gothic style, had a major influence in the spread of Gothic architecture over much of northern and central Europe. The water-management system at Maulbronn, with its elaborate network of drains, irrigation canals and reservoirs, is of exceptional interest.",,(ii)(iv),MEDIUM,7,0,,,,,,church; monastery; wall,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/546
912,Dazu Rock Carvings,Cultural,Asia and the Pacific,China,,,"The steep hillsides of the Dazu area contain an exceptional series of rock carvings dating from the 9th to the 13th century. They are remarkable for their aesthetic quality, their rich diversity of subject matter, both secular and religious, and the light that they shed on everyday life in China during this period. They provide outstanding evidence of the harmonious synthesis of Buddhism, Taoism and Confucianism.","Criterion (i): The Dazu carvings represent the pinnacle of Chinese rock art for their high aesthetic quality and their diversity of style and subject matter.
Criterion (ii): Tantric Buddhism from India and the Chinese Taoist and Confucian beliefs came together at Dazu to create a highly original and influential manifestation of spiritual harmony.
Criterion (iii): The eclectic nature of religious belief in later Imperial China is given material expression in the exceptional artistic heritage of the Dazu rock art.",(i)(ii)(iii),HIGH,7,0,,,,,pinnacle,pinnacle,rock,Criterion_i; Criterion_ii; Title_Stone_Keyword,https://whc.unesco.org/en/list/912
1614,Mathildenhöhe Darmstadt,Cultural,Europe and North America,Germany,,,"The Darmstadt Artists’ Colony on Mathildenhöhe, the highest elevation above the city of Darmstadt in west-central Germany, was established in 1897 by Ernst Ludwig, Grand Duke of Hesse, as a centre for emerging reform movements in architecture, arts and crafts. The buildings of the colony were created by its artist members as experimental early modernist living and working environments. The colony was expanded during successive international exhibitions in 1901, 1904, 1908 and 1914. Today, it offers a testimony to early modern architecture, urban planning and landscape design, all of which were influenced by the Arts and Crafts movement and the Vienna Secession. The serial property consists of two component parts including 23 elements, such as the Wedding Tower (1908), the Exhibition Hall (1908), the Plane Tree Grove (1833, 1904-14), the Russian Chapel of St. Maria Magdalena (1897-99), the Lily Basin, the Gottfried Schwab Memorial (1905), the Pergola and Garden (1914), the “Swan Temple” Garden Pavilion (1914), the Ernst Ludwig Fountain, and the 13 houses and artists’ studios that were built for the Darmstadt Artists’ Colony and for the international exhibitions. A Three House Group, built for the 1904 exhibition is an additional component.",,(ii)(iv),MEDIUM,7,0,,,,,,pavilion; temple; tower,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/1614
1470,Naumburg Cathedral,Cultural,Europe and North America,Germany,,,"Located in the eastern part of the Thuringian Basin, the Cathedral of Naumburg, whose construction began in 1028, is an outstanding testimony to medieval art and architecture. Its Romanesque structure, flanked by two Gothic choirs, demonstrates the stylistic transition from late Romanesque to early Gothic. The west choir, dating to the first half of the 13th century, reflects changes in religious practice and the appearance of science and nature in the figurative arts. The choir and life-size sculptures of the founders of the Cathedral are masterpieces of the workshop known as the ‘Naumburg Master’.",,(i)(ii),HIGH,7,0,,,,,,cathedral,cathedral,Criterion_i; Criterion_ii; Title_Stone_Keyword,https://whc.unesco.org/en/list/1470
1694,Wooden Hypostyle Mosques of Medieval Anatolia,Cultural,Europe and North America,Türkiye,,,"This serial property is comprised of five hypostyle mosques built in Anatolia between the late 13th and mid-14th centuries, each located in a different province of present-day Türkiye. The unusual structural system of the mosques combines an exterior building envelope built of masonry with multiple rows of wooden interior columns (“hypostyle”) that support a flat wooden ceiling and the roof. These mosques are known for the skilful woodcarving and handiwork used in their structures, architectural fittings, and furnishings.",,(ii)(iv),MEDIUM,7,0,,,,,masonry,ceiling; column; hypostyle; mosque; roof,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/1694
984,Blaenavon Industrial Landscape,Cultural,Europe and North America,United Kingdom of Great Britain and Northern Ireland,,,"The area around Blaenavon is evidence of the pre-eminence of South Wales as the world's major producer of iron and coal in the 19th century. All the necessary elements can still be seen - coal and ore mines, quarries, a primitive railway system, furnaces, workers' homes, and the social infrastructure of their community.","Criterion (iii): The Blaenavon landscape constitutes an exceptional illustration in material form of the social and economic structure of 19th century industry.
Criterion (iv): The components of the Blaenavon industrial landscape together make up an outstanding and remarkably complete example of a 19th century industrial landscape.",(iii)(iv),MEDIUM,7,1,coal,Sedimentary,,,quarry,,,Criterion_iv; OUV_Stone,https://whc.unesco.org/en/list/984
1083,Three Parallel Rivers of Yunnan Protected Areas,Natural,Asia and the Pacific,China,,,"Consisting of eight geographical clusters of protected areas within the boundaries of the Three Parallel Rivers National Park, in the mountainous north-west of Yunnan Province, the 1.7 million hectare site features sections of the upper reaches of three of the great rivers of Asia: the Yangtze (Jinsha), Mekong and Salween run roughly parallel, north to south, through steep gorges which, in places, are 3,000 m deep and are bordered by glaciated peaks more than 6,000 m high. The site is an epicentre of Chinese biodiversity. It is also one of the richest temperate regions of the world in terms of biodiversity.","Criterion (vii): Superlative natural phenomena or natural beauty and aesthetic importance The deep, parallel gorges of the Jinsha, Lancang and Nu Jiang are the outstanding natural feature of the site; while large sections of the three rivers lie just outside the site boundaries, the river gorges are nevertheless the dominant scenic element in the area. High mountains are everywhere, with the glaciated peaks of the Meili, Baima and Haba Snow Mountains providing a spectacular scenic skyline. The Mingyongqia Glacier is a notable natural phemonenon, descending to 2700 m altitude from Mt Kawagebo (6740 m), and is claimed to be the gla cier descending to the lowest altitude for such a low latitude (28Â° N) in the northern hemisphere. Other outstanding scenic landforms are the alpine karst (especially the 'stone moon' in the Moon Mountain Scenic Area above the Nu Jiang Gorge) and the 'tortoise shell' weathering of the alpine Danxia.
Criterion (viii): The property is of outstanding value for displaying the geological history of the last 50 million years associated with the collision of the Indian Plate with the Eurasian Plate, the closure of the ancient Tethys Sea, and the uplifting of the Himalaya Range and the Tibetan Plateau. These were major geological events in the evolution of the land surface of Asia and they are on-going. The diverse rock types within the site record this history and, in addition, the range of karst, granite monolith, and Danxia sandstone landforms in the alpine zone include some of the best of their type in the mountains of the world.
Â Criterion (ix): The dramatic expression of ecological processes in the Three Parallel Rivers site has resulted from a mix of geological, climatic and topographical effects. First, the location of the area within an active orographic belt has resulted in a wide range of rock substrates from igneous (four types) through to various sedimentary types including limestones, sandstones and conglomerates. An exceptional range of topographical features - from gorges to karst to glaciated peaks -- is associated with the site being at a â€œcollision pointâ€ of tectonic plates. Add the fact that the area was a Pleistocene refugium and is located at a biogeographical convergence zone (i.e. with temperate and tropical elements) and the physical foundations for evolution of its high biodiversity are all present. Along with the landscape diversity with a steep gradient of almost 6000m vertical, a monsoon climate affects most of the area and provides another favourable ecological stimulus that has allowed the full range of temperate Palearctic biomes to develop.
Criterion (x): Biodiversity and threatened species Northwest Yunnan is the area of richest biodiversity in China and may be the most biologically diverse temperate region on earth. The site encompasses most of the natural habitats in the Hengduan Mountains, one of the world's most important remaining areas for the conservation of the earth's biodiversity. The outstanding topographic and climatic diversity of the site, coupled with its location at the juncture of the East Asia, Southeast Asia, and Tibetan Plateau biogeographical realms and its function as a N-S corridor for the movement of plants and animals (especially during the ice ages), marks it as a truly unique landscape, which still retains a high degree of natural character despite thousands of years of human habitation. As the last remaining stronghold for an extensive suite of rare and endangered plants and animals, the site is of outstanding universal value.",(vii)(viii)(ix)(x),HIGH,7,4,conglomerate; granite; limestone; sandstone,Igneous; Sedimentary,,,monolith,foundation,,OUV_Stone; OUV_Stone_3+,https://whc.unesco.org/en/list/1083
1131,Royal Exhibition Building and Carlton Gardens,Cultural,Asia and the Pacific,Australia,,,"The Royal Exhibition Building and its surrounding Carlton Gardens were designed for the great international exhibitions of 1880 and 1888 in Melbourne. The building and grounds were designed by Joseph Reed. The building is constructed of brick and timber, steel and slate. It combines elements from the Byzantine, Romanesque, Lombardic and Italian Renaissance styles. The property is typical of the international exhibition movement which saw over 50 exhibitions staged between 1851 and 1915 in venues including Paris, New York, Vienna, Calcutta, Kingston (Jamaica) and Santiago (Chile). All shared a common theme and aims: to chart material and moral progress through displays of industry from all nations.","Criterion (ii): The Royal Exhibition Building and the surrounding Carlton Gardens, as the main extant survivors of a Palace of Industry and its setting, together reflect the global influence of the international exhibition movement of the 19th and early 20th centuries. The movement showcased technological innovation and change, which helped promote a rapid increase in industrialisation and international trade through the exchange of knowledge and ideas.",(ii),MEDIUM,7,1,slate,Metamorphic,,,,palace,,Criterion_ii; OUV_Stone; OUV_Materials,https://whc.unesco.org/en/list/1131
870,Historic Monuments of Ancient Nara,Cultural,Asia and the Pacific,Japan,,,"Nara was the capital of Japan from 710 to 784. During this period the framework of national government was consolidated and Nara enjoyed great prosperity, emerging as the fountainhead of Japanese culture. The city's historic monuments – Buddhist temples, Shinto shrines and the excavated remains of the great Imperial Palace – provide a vivid picture of life in the Japanese capital in the 8th century, a period of profound political and cultural change.",Criterion (ii): The historic monuments of ancient Nara bear exceptional witness to the evolution of Japanese architecture and art as a result of cultural links with China and Korea which were to have a profound influence on future developments. Criterion (iii): The flowering of Japanese culture during the period when Nara was the capital is uniquely demonstrated by its architectural heritage. Criterion (iv): The layout of the Imperial Palace and the design of the surviving monuments in Nara are outstanding examples of the architecture and planning of early Asian capital cities. Criterion (vi): The Buddhist temples and Shinto shrines of Nara demonstrate the continuing spiritual power and influence of these religions in an exceptional manner.,(ii)(iii)(iv)(vi),MEDIUM,7,0,,,,,capital,capital; palace; shrine; temple,,Criterion_iv; Criterion_ii; OUV_ArchElements,https://whc.unesco.org/en/list/870
