Site ID,Site Name,Country,Latitude,Longitude,UNESCO Criteria,Architecture Type,UNESCO Mention,Mentioned Major Stone(s),Local Stone Name,Secondary Stone,Rock Class,Lithology,Local vs Imported,Quarry,Masonry Technique,Structural Use,Condition,Weathering,Stone_Mention_OUV_Excerpt,Stone_Potential_Flag,Potential_Tier_Description
633.0,White Monuments of Vladimir and Suzdal,Russian Federation,,,,"Ecclesiastical / Religious and Public Monuments (Cathedral, Church, Monastery, Castle/Palace, Fortress/Kremlin, Golden Gate); nan",Yes,White Limestone,"White Stone (""white-stone architecture / structures"")",,Sedimentary Rock,Limestone,,,"Stonework faced in regular blocks of white limestone, ashlar masonry style","Load-bearing stonework faced in regular blocks of white limestone (walls, cubic towers, naves, drums, apses)",Good,Atmospheric and vehicle pollution affecting white stone facades,"Major Stone: White Limestone | Local Name: White Stone (""white-stone architecture / structures"") | Lithology: Limestone | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1361.0,"Historic Jeddah, the Gate to Makkah",Saudi Arabia,,,,"Multi-cultural Red Sea architectural tradition, characterized by imposing Roshan tower houses and lower houses, mosques, ribat-s, suqs, and small public squares.; nan",Yes,Coral Stone,Coral stone / Coral,,Sedimentary Rock,,Local (Red Sea coastal coral building traditions),,"Coral masonry construction with embedded wooden beams; isolated, outward-oriented houses with specific technical devices for internal ventilation.",Coral stone/coral masonry used for constructing lower houses and tower houses (combined with embedded wooden beams).,Good,"Decay and deterioration of historic structures due to humidity, heat, abandonment, and squatting by poor immigrants.",Major Stone: Coral Stone | Local Name: Coral stone / Coral | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
537.0,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",Greece,,,,"Middle Byzantine religious architecture (cross-in-square plan with octagonal central space under a dome, squinches, Katholikon); nan",Yes,Marble,,Stone (courses of stone enclosed by bricks),Metamorphic Rock,,,,Cloisonné / courses of stone enclosed by bricks,Masonry walls (courses of stone enclosed by bricks),Good,,Major Stone: Marble | Secondary Stone: Stone (courses of stone enclosed by bricks) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
1720.0,The Historic Town and Archaeological Site of Gedi,Kenya,,,,"Swahili coastal architecture (domestic, religious, civic, tombs, palace complex, grand mosque, sunken courts, city walls); nan",Yes,Coral stone / Coral rag,Coral rag,,Sedimentary Rock,,Local (Building stones); Imported luxury items (Porcelain/Glass),,Coral rag/stone laid with lime mortar and earth mortar,"Walls, domestic structures, mosques, tombs, palace complex, wells, water sumps",Good,Vulnerable; affected by vegetation and potential fire risks,Major Stone: Coral stone / Coral rag | Local Name: Coral rag | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
857.0,"La Grand-Place, Brussels",Belgium,,,,"Eclectic blending of Gothic, Renaissance, and Baroque styles; nan",Yes,"Euville Stone, Calcareous Sandstone, Sandstone",Gobertange stone / Bruxellian,Gobertange calcareous sandstone (Bruxellian),Sedimentary Rock,"Calcareous sandstone, limestone",Both (Local Gobertange sandstone & imported/regional Euville stone),Gobertange / Euville,"Ashlar stone masonry, historicist restoration / reproduction","Stone façades, foundations, paved square",Excellent,Erosion and atmospheric pollution,"Major Stone: Euville Stone, Calcareous Sandstone, Sandstone | Local Name: Gobertange stone / Bruxellian | Secondary Stone: Gobertange calcareous sandstone (Bruxellian) | Lithology: Calcareous sandstone, limestone | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
292.0,Cologne Cathedral,Germany,,,,"Gothic, High Gothic, Romanesque; nan",Yes,Limestone,,,Sedimentary Rock,,,,Medieval forms and techniques,High altar slab (monolithic slab),Good,,Major Stone: Limestone | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
567.0,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),,,,"Civic-ceremonial centre, Temples, Pyramids, Monoliths, Palaces, Urban ceremonial capital; nan",Yes,"Sandstone, Red Sandstone, Andesite, Adobe (mud brick)",,,Sedimentary Rock,,,,Impressive accurately carved ashlar stones; carved from single slabs (monolithic); polished stone materials,"Retaining walls (Akapana Pyramid clad in sandstone/andesite), pillars (Templete made of red sandstone), door frames/gateways (Gate of the Sun), steps, underground drainage canals",Excellent,Adverse effect of climatic conditions,"Major Stone: Sandstone, Red Sandstone, Andesite, Adobe (mud brick) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
400.0,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",Hungary,,,,"Eclectic, Gothic, Neo-Gothic, Renaissance, Neo-Renaissance, Baroque, Art Nouveau; nan",Yes,Limestone,,,Sedimentary Rock,,,,,"Castle/Spur foundations, Bridges, Embankments, Underground Railway, Fortifications (Citadel), Retaining Structures",Excellent,"Deterioration of limestone structures, Humidity affecting wooden roof structures, Metal structure corrosion, Air pollution, Climate change impacts (extreme water levels of the Danube)",Major Stone: Limestone | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
987.0,Roman Walls of Lugo,Spain,,,,Roman military fortification / Late imperial defensive walls; nan,Yes,"Slate, Granite",,Conglomerate (slate slabs & worked stone pieces from Roman buildings),Metamorphic Rock,,"Local materials (""use of local materials such as slate, granite..."")",,Interlocked with lime mortar; core filling of conglomerate of slate slabs and worked stone pieces re-used from Roman buildings,Internal and external facings (slate with some granite); core filling (conglomerate of slate slabs and worked stone pieces),Excellent,Minor pressures from relative humidity and water (noted as under control),"Major Stone: Slate, Granite | Secondary Stone: Conglomerate (slate slabs & worked stone pieces from Roman buildings) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
392.0,Temple of Apollo Epicurius at Bassae,Greece,,,,Columned Temple / Sanctuary; nan,Yes,Limestone,Local limestone,,Sedimentary Rock,,Local,Local quarries (surrounding Arkadian mountains),Classical Greek dry masonry (Archaic/Doric blend),"Colonnade (Doric outer columns), Cella, Adyton, Columns (Ionic and Corinthian)",Excellent,"Deterioration from extreme weather, temperature variations, strong wind, water, and seismic activity",Major Stone: Limestone | Local Name: Local limestone | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
540.0,Historic Centre of Saint Petersburg and Related Groups of Monuments,Russian Federation,,,,"Baroque, Pure Neoclassical, Architectural; nan",Yes,Marble,,Peat (Mentioned in geological/terrain context as peat bogs),Metamorphic Rock,"Marble, Peat",,,Built using authentic techniques and historical restoration materials,"Architectural styles in stone and marble for capital structures, fortresses, bases, palaces",Excellent,"Impacts of traffic, air pollution, and relative humidity","Major Stone: Marble | Secondary Stone: Peat (Mentioned in geological/terrain context as peat bogs) | Lithology: Marble, Peat | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1570.0,"Kakatiya Rudreshwara (Ramappa) Temple, Telangana",India,,,,"Main Shiva temple in a walled temple complex with smaller temples and Mandapa structures; Kakatiyan style featuring sandbox foundations and light-weight porous ""floating bricks""; nan",Yes,"Sandstone, ",,"Granite, Dolerite, Light-weight porous bricks (""floating bricks"") and sand (used in sandbox foundation)",Sedimentary Rock,"Fine-grained, hard dolerite (chiseled to metallic polish); Sandstone; Granite",Local (Erected using five types of local materials),,Sandbox foundation technology; mortise-and-tenon or interlocking stone joinery; anastylosis (planned/applied for Kameshwara temple),"Sandstone: Main temple structure and walls


Granite: Columns and beams


Sand: Sandbox foundation


Porous Clay Bricks: Lightweight pyramidal Vimana (horizontally stepped tower)",Excellent,,"Major Stone: Sandstone,  | Secondary Stone: Granite, Dolerite, Light-weight porous bricks (""floating bricks"") and sand (used in sandbox foundation) | Lithology: Fine-grained, hard dolerite (chiseled to metallic polish); Sandstone; Granite | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
822.0,Historic Centre (Old Town) of Tallinn,Estonia,,,,"Medieval northern European trading city, public and burgher buildings, churches, fortifications, domestic merchant architecture; nan",Yes,Limestone (explicitly mentioned forming the high hill of Toompea),,,Sedimentary Rock,,Local (Upper town constructed on local limestone hill),,,"Castle, Cathedral, Town Wall, Fortifications, Urban Foundation",Excellent,Fire and war ravages (historical structural risks),Major Stone: Limestone (explicitly mentioned forming the high hill of Toompea) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
890.0,Historic Centre of the Town of Diamantina,Brazil,,,,"Baroque architecture, Portuguese-inspired architectural patterns, wood architecture, semi-detached houses (1 or 2 floors), churches with single towers; nan",Yes,Flagstone,,Diamond,,,Local (rocky mountains/hillsides surrounding the city),,"Flagstone paving (streets), continuous scaled structures on uneven terrain","Wood (Baroque architecture, semi-detached houses), Church foundations and towers",Good,,Major Stone: Flagstone | Secondary Stone: Diamond | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
910.0,Brimstone Hill Fortress National Park,Saint Kitts and Nevis,,,,Military architecture / Fortress / Citadel (Polygonal System); nan,Yes,"Basalt, Limestone",,,Igneous Rock,"Basalt, Limestone",Local,Quarries on the middle and lower slopes of the hill,Dressed stone blocks with a rubble core; traditional working techniques; mortars prepared with Portland cement mixed with lime,"Dressed stone (basalt) blocks with a rubble core used for principal structures (bastions, barracks, retaining walls, Citadel)",Good,"Rock falls, land slippage, and heavy rainfall impact","Major Stone: Basalt, Limestone | Lithology: Basalt, Limestone | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
787.0,The <I>Trulli</I> of Alberobello,Italy,,,,Traditional vernacular dry-stone dwellings/huts (trulli) with corbelled conical roofs; historic urban landscape; nan,Yes,Limestone,Chianche or Chiancarelle (corbelled limestone slabs used for roofs),,Sedimentary Rock,"Roughly worked limestone boulders, limestone bedrock, and corbelled limestone slabs (chianche)",Local,Excavated on-site (sub-floor cisterns) and collected from neighbouring fields and nearby rock outcrops,Dry-wall / dry-stone construction (mortarless / without cement or mortar); corbelled stone roof construction,Dry-stone double-skinned walls built directly onto limestone bedrock with a rubble core; corbelled conical double-skinned roofs (chianche slabs),Moderate,,"Major Stone: Limestone | Local Name: Chianche or Chiancarelle (corbelled limestone slabs used for roofs) | Lithology: Roughly worked limestone boulders, limestone bedrock, and corbelled limestone slabs (chianche) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
344.0,Pont du Gard (Roman Aqueduct),France,,,,Aqueduct / Aqueduct bridge; nan,Yes,"Large stone blocks (lower two levels), small stone rubble, abutting flagstones (upper canal)",,,,,,,"Large stone blocks assembled on lower levels; small rubble with flagstones at upper level; dry assembly with stonecutters' and quarrymen's marks, engraved positioning codes, and juxtaposed rollers of voussoirs","Three-storey aqueduct bridge (arches, piers, voussoirs, piers with protective lips) carrying a water conduit",Excellent,"Loss of stones, disappearance of 12 arches upstream during the Middle Ages, and spoliation/cutting into piers for road usage","Major Stone: Large stone blocks (lower two levels), small stone rubble, abutting flagstones (upper canal) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
130.0,Ħal Saflieni Hypogeum,Malta,,,,Underground cemetery / subterranean 'labyrinth' / rock-cut chambers; nan,Yes,"Soft globigerina limestone, coralline limestone","Globigerina limestone, coralline limestone","Chert, flint, obsidian",Sedimentary Rock,,Local,Scooped out of the brow of a hill / hewn entirely out of the natural rock,"Rock-cut excavation using chert, flint, obsidian tools and antlers; corbelled masonry","Subterranean levels of chambers, corbelled masonry imitation roofs, trilithon doorway imitations",Excellent,"Fluctuating temperature and relative humidity levels, water infiltration, biological infestations","Major Stone: Soft globigerina limestone, coralline limestone | Local Name: Globigerina limestone, coralline limestone | Secondary Stone: Chert, flint, obsidian | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
990.0,"Assisi, the Basilica of San Francesco and Other Franciscan Sites",Italy,,,,"Umbrian hill town, medieval city, basilicas, sanctuaries, fort, hermitage sites; nan",Yes,Limestone,Assisi type of stone,,Sedimentary Rock,,Local,Mount Subasio slopes (local hill context),Stone construction / terraced Roman town foundation,"Walls, foundations, vaults, basilicas, fort (Rocca Maggiore), sanctuaries",Excellent,,Major Stone: Limestone | Local Name: Assisi type of stone | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
885.0,Historic Centre of Shakhrisyabz,Uzbekistan,,,,Secular / Medieval / Temurid Architectural Ensemble; nan,Yes,"Marble, White Marble",,,Metamorphic Rock,Marble,,,Traditional materials and techniques,"Gate foundations, Mausoleum/Tomb structures, City Walls, Cupola",Good,Inroads of time; rising ground water level affecting physical integrity,"Major Stone: Marble, White Marble | Lithology: Marble",,Tier 9: Unflagged
1625.0,Cordouan Lighthouse,France,,,,"Renaissance, Mannerism, Neoclassicism (18th century addition), Monumental, Tower; nan",Yes,Limestone (dressed blocks),,,Sedimentary Rock,,,,"Dressed blocks, stereotomy / stereometry","Monumental tower, frustoconical tower, pilasters, columns, dome, light chamber, 8 levels (67m high)",Good,"Highly exposed and hostile/aggressive maritime environment (extreme meteorological conditions, hazards, ocean exposure)",Major Stone: Limestone (dressed blocks) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
500.0,Historic Centre of Lima,Peru,,,,"Hispano-American Baroque, Art Nouveau, Colonial, Republican, Traditional civil & religious architecture; nan",Yes,"Adobe, Stone, Brick, Quincha (traditional mud & organic lattice)",,,Sedimentary Rock,,Local,,"Hybrid Anti-Seismic Masonry: Adobe and brick on the ground floor, Quincha on upper floors","First-floor walls (Adobe & Brick), Bridge construction (Stone over Rímac River), Foundations",Moderate,"Environmental pollution, vibrations from transportation, natural material degradation","Major Stone: Adobe, Stone, Brick, Quincha (traditional mud & organic lattice) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
90.0,Abu Mena,Egypt,,,,"Monastery, Pilgrimage Centre, Ecclesiastical Complex (Churches, Baptistery, Basilicas, Hostels/Rest Houses, Public Baths, Workshops); nan",Yes,"Limestone, Marble",,,Sedimentary Rock,,,,Ashlar masonry set in lime mortar; Mud bricks covered with fine lime plaster for simpler buildings,Ashlar masonry for main buildings / wall construction,Moderate,"Risks from heavy rains, winds, humidity, fires, and rising underground water related to agricultural irrigation","Major Stone: Limestone, Marble | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1670.0,Sacred Ensembles of the Hoysalas,India,,,,Temple / Temple complexes; nan,Yes,Chloritic schist / Schist,Soapstone,,Metamorphic Rock,Chloritic Schist,,,"Stellate plan, horizontal friezes, fine stone carving","Stellate sanctum, circumambulatory platform, adhisthana, walls, temples",Good,,Major Stone: Chloritic schist / Schist | Local Name: Soapstone | Lithology: Chloritic Schist | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
1379.0,Margravial Opera House Bayreuth,Germany,,,,Baroque theatre architecture / Court opera house; nan,Yes,Sandstone,,,Sedimentary Rock,,,,,Sandstone façade (designed by Joseph Saint Pierre),Good,,Major Stone: Sandstone | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
404.0,"Acropolis, Athens",Greece,,,,"Classical Greek / Sanctuary & Monumental Complex (Parthenon, Erechtheion, Propylaea, Temple of Athena Nike); nan",Yes,White Marble,,,Metamorphic Rock,,Pentelic Marble / Penteli Marble,Mt. Penteli (Pentelikon),Ancient classical masonry/building techniques,"Temples, Propylaea, Fortification Walls, Foundations, Altars",Excellent,Eroded architectural elements,Major Stone: White Marble | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
810.0,Historic City of Trogir,Croatia,,,,"Hellenistic orthogonal plan, Romanesque churches, Gothic and Renaissance buildings/palaces, Baroque, Byzantine, Venetian fortifications, Fortress (Camerlengo), Cathedral, Basilica, Town Hall; nan",Yes,Limestone,Local limestone,,Sedimentary Rock,,Local,,"Megalithic wall, Vaulting (main nave)","Walls, residential blocks, fortifications, cathedral, basilica, bell tower, foundations, town hall, palaces",Good,"Sea level rise, climate change, past heavy vehicle traffic, patina accumulation",Major Stone: Limestone | Local Name: Local limestone | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
326.0,Petra,Jordan,,,,"Architectural, Architecture, Building, Byzantine, Design, Facade, Monument, Monumental, Plan, Structure, Traditional (also Nabataean, Hellenistic, Roman, Graeco-Roman); nan",Yes,"Red Sandstone, Sandstone",,,Sedimentary Rock,Sandstone,Local (rock-cut directly into surrounding cliffs and gorges),,Rock-cut / Ashlar Freestanding Masonry,"Half-built, half-carved rock-cut structures, tombs, temples, water channels, dams, cisterns, city walls, arches",Moderate,"Ongoing erosion due to wind and rain, exacerbated by windblown sand and natural decay of the sandstone architecture","Major Stone: Red Sandstone, Sandstone | Lithology: Sandstone | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
983.0,"Historic Town of St George and Related Fortifications, Bermuda",United Kingdom of Great Britain and Northern Ireland,,,,"Colonial, English military engineering, Garrison town; nan",Yes,Limestone,Local limestone / Bermudian limestone,,Sedimentary Rock,,Local materials / Local stone,,Early masonry construction / Cut soft stone blocks whitewashed for water catchment,"Walls, roofs, foundations, fortification batteries, seawalls",Good,"Storm damage, exposure to maritime environments, invasive plant species",Major Stone: Limestone | Local Name: Local limestone / Bermudian limestone | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
1463.0,Aqueduct of Padre Tembleque Hydraulic System,Mexico,,,,"Hydraulic system, arcaded aqueduct bridges, canals, distribution tanks, cisterns/reservoirs, springs; nan",Yes,"Adobe (earthen adobe brick formwork), Stone (enclosed in stone)",,,,,Local ( adaptation of local methods of adobe construction and regional materials),,Roman masonry aqueduct tradition combined with Mesoamerican adobe construction and collective labor techniques,Supporting structures / formwork using earthen adobes; arcaded aqueduct bridges; main and secondary canals,Excellent,,"Major Stone: Adobe (earthen adobe brick formwork), Stone (enclosed in stone) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1131.0,Royal Exhibition Building and Carlton Gardens,Australia,,,,"Byzantine, Romanesque, Lombardic and Italian Renaissance; nan",,"Bluestone, Slate","Bluestone,",,Metamorphic Rock,,,,"Brick and timber, steel and slate construction","Plinth, base of iron railings, slate roof, timber floors, external joinery and stonework",Excellent,,"Major Stone: Bluestone, Slate | Local Name: Bluestone, | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
586.0,Rohtas Fort,Pakistan,,,,"Muslim Military Architecture (Fortress / Garrison complex with bastions, monumental gateways, inner citadel, stepped wells, mosque, and haveli); nan",Yes,Marble and Sandstone (Rock/geological material is explicitly mentioned),,Sedimentary (Sandstone) & Metamorphic (Marble),Metamorphic Rock,,,,Ashlar/coursed stone masonry with plaster decoration and glazed tiles,"Massive defensive fortification walls, 68 bastions, 12 monumental gateways, inner citadel walls, stepped wells (baolis), and buildings (Shahi Masjid, Haveli Man Singh)",Moderate,"Fortification wall collapsed in places; threatened by rainwater flooding, choking of original drainage system, and encroachment",Major Stone: Marble and Sandstone (Rock/geological material is explicitly mentioned) | Secondary Stone: Sedimentary (Sandstone) & Metamorphic (Marble) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
434.0,"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",Oman,,,,"Settlements, Necropolises (tombs), Monumental Towers, Fort, Irrigation Systems/Dams; nan",Yes,Limestone,,Flint (used in Neolithic mines/workshops),Sedimentary Rock,"Dressed limestone blocks, Mud-brick (underneath earlier structures)",Local,Local ancient Bronze Age quarries & stone-masonry workshops,"Dry-stone masonry, dressed blocks laid carefully with simple mud mortar","Circular outer walls of towers, beehive tombs, cairn tombs, foundations, terraces",Excellent,"Damaged slightly by action of time, natural erosion, and weathering processes","Major Stone: Limestone | Secondary Stone: Flint (used in Neolithic mines/workshops) | Lithology: Dressed limestone blocks, Mud-brick (underneath earlier structures) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1031.0,Historic Centre of Guimarães and Couros Zone,Portugal,,,,"Portuguese architecture (medieval settlement evolving into a modern town with grand houses, monastic complexes, tanneries, workers' houses); nan",Yes,Granite,,,,,,,Granite combined with a timber-framed / half-timbered structure,Ground floor in granite with a half-timbered structure above,Excellent,,Major Stone: Granite | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
365.0,Khami Ruins National Monument,Zimbabwe,,,,Complex series of platforms of dry-stone walled structures; nan,Yes,Granite,,,Igneous Rock,Granite,Local (Dry-stone building traditions surrounding the site area),,Dry-stone masonry / Anastylosis (for restoration),"Retaining walls/revetments, platforms, passage ways, perambulatory galleries, Chief's residence (Mambo), terraces, and a monumental granite cross",Moderate,"Variations in temperature, rain-induced ground creepage (causing wall cracks, bulges, and collapses), ground water, natural erosion, encroaching vegetation",Major Stone: Granite | Lithology: Granite | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
233.0,"Qutb Minar and its Monuments, Delhi",India,,,,"Architectural, Masonry, Monument, Mughal, Islamic, Funerary, Religious; nan",Yes,"Red Sandstone, Buff Sandstone",,,Sedimentary Rock,Sandstone,Reused materials from ~20 local Brahman temples,,"Angular and rounded fluted masonry, ashlar masonry with carved bands","Masonry tower, arches, minarets, arcades, ceremonial gateway, tomb chamber",Good,,"Major Stone: Red Sandstone, Buff Sandstone | Lithology: Sandstone | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
149.0,Archaeological Park and Ruins of Quirigua,Guatemala,,,,"Pyramids, terraces, staircases, dwellings, royal residence, administrative centre; nan",Yes,Sandstone,,Jade (mentioned in context of trade route control),Sedimentary Rock,,,,"Carved in sandstone without the use of metal tools; high relief (""School of Motagua"" style)","Pyramids, terraces, staircases, plazas",Excellent,"Damage caused by environmental factors, flooding (1998, 2010), and proximity to Motagua River and geological fault",Major Stone: Sandstone | Secondary Stone: Jade (mentioned in context of trade route control) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
634.0,"Church of the Ascension, Kolomenskoye",Russian Federation,,,,Tent-roofed church / Orthogonal one-pillar construction; nan,Yes,Limestone / White-stone,White-stone (beliy kamen),,Sedimentary Rock,,,,"Brickwork combined with white-stone carved features, cladding, and facing","Substructure, octagonal base, stairs, ciborium (""royal pew""), and pillars/walls",Excellent,Complete loss of original white-stone carved capitals and portals on the second tier; surface damage to brickwork,Major Stone: Limestone / White-stone | Local Name: White-stone (beliy kamen) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
277.0,Hatra,Iraq,,,,"Fortified city, temples/shrines with Iwans (open halls with high barrel-vaulted roofs), temenos, inner & outer circular defensive walls, towers, strongholds, gates, and bridges.; nan",Yes,"Gypsum, Stone",,"Bitumen, Mudbrick, Brick",Sedimentary Rock,,Local (relied for building materials on stone quarries near the site).,Stone quarries near the site.,"Mudbrick, brick, bitumen and gypsum, stone and gypsum; barrel vaults; carved stone and chiselled stone masonry.","Inner main wall (diameter ~2 km), strongholds, towers, barrel-vaulted roofs / Iwans, rectangular temenos wall, contiguous Iwans, bridges, and wells.",Good,"Severe natural weathering, erosion, neglect, looting, and localized conflict-inflicted damage (2015–2017).","Major Stone: Gypsum, Stone | Secondary Stone: Bitumen, Mudbrick, Brick | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
731.0,Hanseatic Town of Visby,Sweden,,,,"Walled trading town, ramparts, warehouses, merchants' dwellings, castles, cathedrals, churches, guild houses, residences, towers, gates, moats, monasteries, vernacular wooden houses, hospital, school, prison.; nan",Yes,Limestone ,Gotlandic Limestone,,Sedimentary Rock,,Local,"Quarries extracted from the surrounding dry moats, open spaces, and adjacent limestone quarries.",Stone masonry with Gotlandic lime plaster/mortars; horizontal plank timber construction (used for vernacular houses).,"Town defense walls, ramparts, towers, gates, foundations, warehouses, churches, cathedrals, and street paving (large limestone slabs).",Moderate,"Partial collapses over the years (e.g., collapse of a section of the town wall in 2012); decay of abandoned church ruins after the Reformation (1530s).",Major Stone: Limestone  | Local Name: Gotlandic Limestone | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
518.0,Poblet Monastery,Spain,,,,"Cistercian abbey / Abbey, Monastery complex (includes church, cloister, fortified royal residence, chapter house, refectory, pantheon, etc.); nan",Yes,"Alabaster (retable of the high altar by Damià Forment, 1529)",,,,,,,,,Good,,"Major Stone: Alabaster (retable of the high altar by Damià Forment, 1529) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
782.0,La Lonja de la Seda de Valencia,Spain,,,,Flamboyant Gothic / Late Gothic; nan,Yes,"Freestone, Marble",Alcublas marble,,Metamorphic Rock,,Local / Regional,Alcublas,Freestone ashlar / helical masonry,"Twisted columns, helical pillars, cross vaults, walls, tower, all in freestone",Good,,"Major Stone: Freestone, Marble | Local Name: Alcublas marble | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
334.0,Sanctuary of Bom Jesus do Congonhas,Brazil,,,,"Sanctuary, Basilica, Church, Chapels, Outdoor staircase; nan",Yes,Soapstone (pedra sabão),pedra sabão,,,,,,,,Good,,Major Stone: Soapstone (pedra sabão) | Local Name: pedra sabão | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
367.0,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",Germany,,,,"Roman, Romanesque, Gothic, High Gothic, Renaissance, Baroque; nan",Yes,Marble,,,Metamorphic Rock,,,,"Large stone construction (Porta Nigra), brick monumental structures (Basilica)","Fortified gate, city walls, basilicas, thermae/baths, bridge, column, cathedral, church structures",Good,,Major Stone: Marble | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
658.0,Coro and its Port,Venezuela (Bolivarian Republic of),,,,"Earthen architecture, domestic, monumental, religious, and civil buildings; nan",Yes,"Adobe (sun-dried mud brick), Bahareque (mud, timber, bamboo), Tapia (rammed earth)",,,,,,Venezuela (Bolivarian Republic of),"Bahareque (mud, timber, bamboo), Adobe (sun-dried brick), Tapia (rammed earth)
","Earthen structures / Mud-building systems (adobe, bahareque, tapia) for walls and foundations",Moderate,"Damage from heavy rains, climatic change, and material fragility","Major Stone: Adobe (sun-dried mud brick), Bahareque (mud, timber, bamboo), Tapia (rammed earth) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
385.0,Old City of Sana'a,Yemen,,,,"Homogeneous architectural ensemble; multi-storeyed tower-houses, minarets, mosques, hammams (baths), caravanserais, and city walls.; nan",Yes,Gypsum,,,Sedimentary Rock,,"Local materials (""exceptional craftsmanship in the use of local materials and techniques"")",,Stone masonry for lower levels; rammed earth (pisé) and burnt brick for upper floors.,Stone-built ground floors supporting upper multi-storeyed tower-houses; city boundary walls.,Moderate,,Major Stone: Gypsum | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
1011.0,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Armenia,,,,"Central-domed cross-hall type church, four-column domed basilica, three-aisled basilica, circular structure; nan",,Tuff (stone of volcanic origin),,Marble,Igneous Rock,"Tuff (volcanic ash/pyroclastic rock), Marble",,,Well-processed tuff blocks,"Walls, dome/roofing slabs, pillars, vaults, foundations, columns",Good,,"Major Stone: Tuff (stone of volcanic origin) | Secondary Stone: Marble | Lithology: Tuff (volcanic ash/pyroclastic rock), Marble | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
