TERMS,DEFINITIONS
cross-bedding,Uniform to highly varied sets of inclined beds deposited by wind or water that indicate flow conditions such as direction and depth.
cross section,"A graphic interpretation of geology, structure, or stratigraphy based on mapped and measured geologic extents and attitudes, depicted in a vertical plane (i.e., a cut or profile view)."
cross-stratification,"Arrangement of strata inclined at an angle to the main stratification. This is a general term that is commonly divided into cross-bed, which is cross-strata thicker than 1 cm (0.4 in); and cross-lamination, which is cross-strata thinner than 1 cm (0.4 in)."
crust,Earth’s outermost layer or shell.
cryptocrystalline,Describes a rock texture in which individual crystals are too small to be recognized or distinguished with an ordinary microscope.
crystalline,"Describes a regular, orderly, repeating geometric structural arrangement of atoms."
crystal structure,The orderly and repeated arrangement of atoms in a crystal.
cuesta,A hill or ridge with a gentle slope on one side and a steep slope on the other.
cumulate,An igneous rock formed by accumulation of crystals that settle out from a magma by the action of gravity.
cutbank,"A steep, bare, slope formed by lateral erosion of a stream."
cycad,"A member of a group of seed-bearing plants (Cycadales) with pinnately compound leaves, poorly developed wood, and ovules borne on loosely or compactly arranged spore-bearing leaves in terminal cones. Range: late Carboniferous (?) to Holocene."
dacite,A volcanic rock that is characteristically light in color and contains approximately 63%–68% silica and moderate amounts of sodium and potassium.
debris,"Any surficial accumulation of loose material detached from rock masses by chemical or mechanical means; consists of rock fragments, soil material, and sometimes organic matter."
debris cone,"A cone or mound of ice or snow on a glacier, covered with a veneer of debris thick enough to protect the underlying material from ablation."
debris flow,"A moving mass of rock fragments, soil, and mud, with more than half of the particles larger than sand size. Slow debris flows may move less that 1 m (3 ft) per year; rapid ones reach 160 kph (100 mph)."
décollement,"A large (kilometers to tens of kilometers) fault of shear zone that is shallowly dipping to nearly horizontal; typically, faults and folds in rocks above the décollement do not extend across it. Synonymous with “detachment fault.”"
dedolomitization,"A process resulting from metamorphism, wherein part or all of the magnesium in a dolomite or dolomitic limestone is used for the formation of magnesium oxides, hydroxides, and silicates and resulting in an enrichment in calcite."
deflation,"The removal of material from a beach, desert, or other land surface by wind action."
deformation,"The process of folding, faulting, shearing, or fabric development in rocks as a result of Earth stresses."
delta,"The low, nearly flat, alluvial tract of land at or near the mouth of a river, commonly forming a triangular or fan-shaped plain of considerable area; resulting from the accumulation of sediment supplied by the river in such quantities that it is not removed by tides, waves, and currents."
delta fan,A deposit formed by the merging of an alluvial fan with a delta.
delta plain,"The level or nearly level surface composing the landward part of a large or compound delta; strictly, an alluvial plain characterized by repeated channel bifurcation and divergence, multiple distributary channels, and interdistributary flood basins."
dendritic,Describes a branching pattern.
dendrochronology,The study of annual growth rings of trees for dating of the recent past.
depocenter,An area or site of maximum deposition.
depth zone,"One of five oceanic environments, or ranges of oceanic depths: (1) littoral zone, between high and low tides; (2) neritic zone, between low-tide level and 200 m (660 ft) above the continental shelf; (3) bathyal zone, between 200 and 3,500 m (660 and 11,500 ft); (4) abyssal zone, between 3,500 and 6,000 m (11,500 and 20,000 ft); and (5) hadal zone 6,000 m (20,000 ft) and deeper."
desert pavement,"A natural residual concentration of wind-polished, closely packed pebbles, boulders, and other rock fragments, mantling a desert surface where wind action or sheetwash have removed all smaller particles."
desiccation,A complete or nearly complete drying-out or drying-up.
detachment fault,"A regionally extensive, gently dipping normal fault that is commonly associated with extension in a metamorphic core complex. Synonymous with “décollement.”"
detrital,Pertaining to or formed from detritus.
detrital mineral,"Any mineral grain resulting from mechanical disintegration of parent rock, especially a heavy mineral found in a sediment, or weathered and transported from a vein or lode and found in a placer or alluvial deposit."
detritus,Loose rock and mineral material that is worn off or removed by mechanical processes.
devitrification,Conversion of glass to crystalline material.
diabase,An intrusive igneous rock consisting primarily of the minerals labradorite and pyroxene.
diamictite,"Nonsorted or poorly sorted, noncalcareous, terrigenous sedimentary rock that contains a wide range of particle sizes, such as a rock with sand and/or larger particles in a muddy matrix. The term implies no origin."
diamicton,The nonlithified equivalent of diamictite.
diatom,"A microscopic, single-celled alga that secretes walls of silica, called frustules; lives in freshwater or marine environments."
diatomite,"A light-colored, soft, silica-rich sedimentary rock consisting mostly of diatoms."
diatreme,A breccia-filled volcanic pipe formed by gaseous explosion.
differential erosion,"Erosion that occurs at irregular or varying rates due to differences in the resistance and hardness of surface material: softer and weaker rocks are rapidly worn away; harder and more resistant rocks remain to form ridges, hills, or mountains."
dike,A narrow igneous intrusion that cuts across bedding planes or other geologic structures.
diopside,A silicate (silicon + oxygen) mineral of the pyroxene group; occurs in mafic and ultramafic igneous rocks and some areas of contact metamorphism.
diorite,"A coarse-grained, intrusive igneous rock characteristically containing plagioclase, as well as dark-colored amphibole (especially hornblende), pyroxene, and sometimes a small amount of quartz; diorite grades into monzodiorite with the addition of alkali feldspar."
dip,The angle between a bed or other geologic surface and the horizontal plane.
dip-slip fault,A fault with measurable offset where the relative movement is parallel to the dip of the fault.
discharge,"The rate of flow of surface water or groundwater at a given moment, expressed as volume per unit of time."
disconformity,An unconformity in which the bedding of strata above and below is parallel.
discordant,Describes an igneous intrusion having contacts that are not parallel to foliation or bedding in the country rock.
displacement,"The relative movement of the two sides of a fault; also, the specific amount of such movement."
divergent plate boundary,"A boundary between two plates that are moving apart, characterized by mid-ocean ridges at which sea-floor spreading occurs."
doline,A type of sinkhole or a karst collapse feature.
dolomite (mineral),"A carbonate (carbon + oxygen) mineral of calcium and magnesium, CaMg(CO3)2."
dolomite (rock),A carbonate sedimentary rock containing more than 50% of the mineral dolomite (calcium-magnesium carbonate). The rock is sometimes referred to as “dolostone” to distinguish it from the mineral.
dolomitic,"Describes a rock containing dolomite, especially one that contains 5%–50% of the mineral dolomite in the form of cement and/or grains or crystals."
dolomitization,"The process by which limestone is wholly or partly converted to dolomite or dolomitic limestone through the replacement of the original calcium carbonate (calcite) by magnesium carbonate (mineral dolomite), usually through the action of magnesium-bearing water (seawater or percolating meteoric water)."
dome,"Any smoothly rounded landform or rock mass; more specifically, an elliptical uplift in which rocks dip gently away in all directions."
downcutting,"Stream erosion in which cutting is directed primarily downward, as opposed to laterally."
downwarping,"Subsidence of Earth’s crust on a regional scale as a result of crustal loading by ice, water, sediments, or lava flows."
drainage,"The manner in which the waters of an area flow off in surface streams or subsurface conduits; also, the processes of surface drainage of water from an area by streamflow and sheet flow, and the removal of excess water from soil by downward flow."
drainage basin,"A region or area bounded by a drainage divide and occupied by a drainage system, specifically the tract of country that gathers water originating as precipitation and contributes it to a particular stream channel or system of channels, or to a lake, reservoir, or other body of water."
dredge (engineering),A floating machine for excavating sedimentary material from the bottom of a body of water.
dredge (oceanography),An ocean-bottom sampler that scrapes material from the sea floor as the device is dragged behind a slowly moving ship.
driblet,Pyroclastic material ejected from a vent. Synonymous with “spatter.”
drift,"All rock material (clay, silt, sand, gravel, and boulders) transported and deposited by a glacier, or by running water emanating from a glacier."
dripstone,A mineral deposit formed in a cave by dripping water.
dropstone,An oversized stone in laminated sediment that depresses the underlying laminae and may be covered by other laminae that drape over the stone; commonly deposited from ice rafts.
drumlin,"A low, smoothly rounded, elongated oval hill, mound, or ridge of till that formed under the ice margin and was shaped by glacial flow; the long axis is parallel to the direction of ice movement."
ductile,"Describes a rock that is able to sustain deformation such as folding, bending, or shearing before fracturing."
dune,"A low mound or ridge of sediment, usually sand, deposited by the wind."
dune field,Extensive deposits of sand in an area where the supply is abundant; individual dunes resemble barchans dunes but are highly irregular in shape and crowded.
dunite,"Peridotite in which the mafic mineral is almost entirely olivine, with accessory chromite almost always present."
ebb-tidal delta,A tidal delta formed on the seaward side of a tidal inlet.
edifice,The constructional mass of a volcano.
efflorescence,"A whitish fluffy or crystalline powder produced as a surface encrustation on a rock or soil in an arid region by evaporation of water brought to the surface by capillary action; it may consist of one or several minerals, commonly soluble salts such as gypsum and halite. Also, the process by which an efflorescent salt or crust is formed."
effusive eruption,An eruption that produces mainly lava flows and domes.
electrical resistivity survey,A measure of the difficulty with which an electric current flows through unconsolidated sediment and rock.
electromagnetic survey,An electrical exploration method based on the measurement of alternating magnetic fields associated with currents artificially or naturally maintained in the subsurface.
emergence,A change in the levels of water and land such that the land is relatively higher and areas formerly under water are exposed; results from either an uplift of land or fall of water level.
enclave,"A compositionally or texturally distinct part of an igneous rock, commonly elongated or ellipsoidal in shape and typically smaller than 1 m (3 ft) across."
en echelon,"Describes geologic features, particularly faults, that overlap in a steplike pattern."
entrainment,"The process of picking up and transporting sediment, commonly by wind or water."
entrenched meander,"An incised meander carved downward into the surface of the valley in which the meander originally formed; preserves its original pattern with little modification, suggesting rejuvenation of a meandering stream as a result of rapid vertical uplift or a lowering of base level; exhibits a symmetric cross profile in a gorge or canyon setting."
entrenched stream,"A stream, often meandering, that flows in a narrow canyon or valley (i.e., “trench”) cut into a plain or relatively level upland; specifically a stream that has inherited its course from a previous cycle of erosion and that cuts into bedrock with little modification of the original course."
ephemeral lake,A short-lived lake.
ephemeral stream,"A stream that flows briefly, only in direct response to precipitation, and whose channel is always above the water table."
epicenter,The point on Earth’s surface directly above the initial rupture point of an earthquake.
epiclastic rock,A rock formed at Earth’s surface by consolidation of fragments of preexisting rocks.
epicontinental,Describes a geologic feature on the continental shelf or interior.
epidote,"A characteristically green silicate (silicon + oxygen) mineral, commonly occurring as slender, grooved crystals in hand specimens."
epidosite,"A metamorphic rock consisting of epidote and quartz, and generally containing other secondary minerals such as uralite and chlorite."
epigenesist (metamorphism),The change in the mineral character of a rock as a result of external influences operating near the Earth’s surface.
epigenesis (sedimentology),"The changes, transformations, or processes that occur at low temperatures and pressures, which affect sedimentary rocks subsequent to their compaction, exclusive of surficial alteration (weathering) and metamorphism."
epigenetic (economic geology),Describes a mineral deposit of origin later than that of the enclosing rocks.
epigenetic (sedimentology),"Describes a sedimentary mineral, texture, or structure formed after the deposition of the sediment."
equigranular,Said of the texture of a rock having crystals of the same or nearly the same size.
erg,A regionally extensive tract of sandy desert; a “sand sea.”
erosion,"The general process or group of processes that loosen, dissolve, wear away, and simultaneously move from one place to another, the materials of Earth’s crust; includes weathering, solution, abrasive actions, and transportation, but usually excludes slope movements."
erratic,"A rock fragment carried by glacial ice deposited at some distance from the outcrop from which it was derived, and generally, though not necessarily, resting on bedrock of different lithology."
escarpment,A steep cliff or topographic step resulting from vertical displacement on a fault or as a result of slope movement or erosion. Synonymous with “scarp.”
estuary,The seaward end or tidal mouth of a river where freshwater and seawater mix.
euhedral,A grain bounded by perfect crystal faces; well-formed.
eustatic,Describes a worldwide rise or fall in sea level.
eutaxitic,Describes a stratified mineral deposit.
evaporite,A sedimentary rock composed primarily of minerals produced from a saline solution as a result of extensive or total evaporation of the solvent (usually water).
evapotranspiration,"Loss of water from a land area through transpiration (passage of water vapor from a living body through a membrane) of plants and evaporation from the soil and surface-water bodies. Also, the volume of water lost through evapotranspiration."
exfoliation,"The spalling, peeling, or flaking of layers or concentric sheets from an exposed rock mass caused by a change in heat or a reduction in pressure when overlying rocks erode away."
explosive eruption,"An energetic eruption that produces mainly ash, pumice, and fragmental ballistic debris."
exsolution,The process whereby an initially homogeneous solid solution separates into two (or possibly more) distinct crystalline phases without addition or removal of material.
extension,Deformation of Earth’s crust whereby rocks are pulled apart.
extrusion,"The emission of lava onto Earth’s surface; also, the rock so formed."
extrusive,Describes an igneous rock that has been erupted onto the surface of the Earth. Extrusive rocks include lava flows and pyroclastic material such as volcanic ash.
fabric,"The complete spatial and geometrical configuration of all components that make up a deformed rock, including texture, structure, and preferred orientation."
facies (metamorphic),The pressure and temperature conditions that result in a particular suite of metamorphic minerals.
facies (sedimentary),"The depositional or environmental conditions reflected in the sedimentary structures, textures, mineralogy, fossils, and other components of a sedimentary rock."
fan delta,A gently sloping alluvial deposit produced where a mountain stream flows out onto a lowland.
fanglomerate,A sedimentary rock consisting of waterworn fragments of various sizes deposited in an alluvial fan and later cemented into rock.
fault,A break in rock characterized by displacement of one side relative to the other.
fault gouge,"Soft, uncemented, pulverized, claylike material found along some faults; formed by friction during fault movement."
feldspar,"A group of abundant silicate (silicon + oxygen) minerals, comprising more than 60% of Earth’s crust and occurring in all types of rocks."
feldspathic,Describes a rock containing feldspar.
feldspathoid,"A group of comparatively rare rock-forming minerals consisting of aluminosilicates of sodium, potassium, or calcium and having too little silica to form feldspar. Feldspathoids are chemically related to the feldspars, but differ from them in crystal form and physical properties; they take the places of feldspars in igneous rocks that are undersaturated with respect to silica or that contain more alkalies and aluminum than can be accommodated in the feldspars."
felsenmeer,"From the German word meaning “sea of rocks”; a block field consisting of usually angular blocks with no fine sizes in the upper part, over solid or weathered bedrock, colluvium, or alluvium, without a cliff or ledge above as an apparent source."
felsic,"Derived from feldspar + silica to describe an igneous rock having abundant light-colored minerals such as quartz, feldspars, or muscovite; also, describes those minerals."
felsite,"Any light-colored, fine-grained extrusive igneous or hypabyssal rock composed mostly of quartz and feldspar."
felty,Said of the texture of the groundmass of a holocrystalline (composed entirely of crystals) igneous rock in which lath-shaped microlites (microscopic crystals that polarize light; typically plagioclase) are interwoven in an irregular unoriented fashion.
fenestral,Having openings or transparent areas in a rock.
ferric,"Of, relating to, or containing iron."
ferromagnesian,Containing iron and magnesium.
fetch,The area of the ocean surface over which a constant and uniform wind generates waves.
fiamme,"From “fiamma,” meaning “flame” in Italian. Dark, vitric lenses in welded tuffs, averaging a few centimeters in length, perhaps formed by the collapse of fragments of pumice."
fine-grained,"Describes sediment or sedimentary rock and texture in which the individual constituents are too small to distinguish with the unaided eye, specifically sediment or rock whose particles have an average diameter less than 1/16 mm (0.002 in), that is, silt-size particles and smaller. Also, describes a crystalline or glassy rock and texture in which the individual minerals are relatively small, specifically an igneous rock whose particles have an average diameter less than 1 mm (0.04 in)."
fissile,Capable of being easily split along closely spaced planes.
fissure,A fracture or crack in rock along which there is a distinct separation; commonly filled with mineral-bearing materials.
fissure (volcanic),An elongated fracture or crack at the surface from which lava erupts.
fissure vent,A volcanic conduit having the form of a crack or fissure at Earth’s surface.
fissure volcano,One of a series of volcanic vents in a pattern of eruption along a fissure.
fjard,"A small, narrow, irregular inlet or bay, shorter, shallower, and broader in profile than a fjord."
fjord,"A long, narrow, winding, glacially eroded inlet or arm of the sea, U-shaped and steep-walled, generally several hundred meters deep, between high rocky cliffs or slopes along a mountainous coast; usually represents the seaward end of a deeply excavated glacial-trough valley that is partially submerged by drowning after the melting of glacial ice."
flame structure,A wave- or flame-shaped plume of mud that squeezed irregularly upward into an overlying sedimentary layer.
flat slab subduction,Refers to the subduction of one tectonic plate beneath another at a relatively shallow angle.
flint,"The homogeneous, dark-gray or black variety of chert."
float,"A general term for isolated, displaced fragments of a rock, especially on a hillside below an outcropping ledge or vein."
floodplain,"The surface or strip of relatively smooth land composed of alluvium and adjacent to a river channel, constructed by the present river in its existing regimen and covered with water when the river overflows its banks. A river has one floodplain and may have one or more terraces representing abandoned floodplains."
floodplain splay,"A small alluvial fan or other outspread deposit formed where an overloaded stream breaks through a levee (artificial or natural) and deposits its material (often coarse-grained) on the floodplain. Synonymous with “overbank splay,” “sand splay,” “channel splay,” or simply “splay.”"
flood-tidal delta,A tidal delta formed on the landward side of a tidal inlet.
flowstone,Any deposit of calcium carbonate or other mineral formed by flowing water on the walls or floor of a cave.
fluvial,Of or pertaining to a river or rivers.
fluvial channel,A natural passageway or depression produced by the action of a stream or river.
fluviatile,"Belonging to a river; produced by river action; growing or living in freshwater rivers. It is an approximate synonym of “fluvial,” but particularly used for the physical products of river action such as “fluviatile dam.”"
flysch,"A marine sedimentary facies characterized by a thick sequence of poorly fossiliferous, thinly bedded, graded marls and sandy and calcareous shales and muds, rhythmically interbedded with conglomerates (rare), coarse sandstones, and graywackes; typically deposited in deep ocean basins near convergent plate boundaries and rising mountains."
fold,"A curve or bend in an originally flat structure, such as a rock stratum, bedding plane, or foliation; usually a product of deformation."
folia,"Speleothems, commonly of calcite, that are downward-sloping, shelflike, interleaved tiers."
foliation,"A preferred arrangement of crystal planes in minerals. Primary foliation develops during the formation of a rock and includes bedding in sedimentary rocks and flow layering in igneous rocks. In metamorphic rocks, the term commonly refers to a parallel orientation of planar minerals such as micas. Secondary foliation develops during deformation and/or metamorphism and includes cleavage, schistosity, and gneissic banding."
footwall,The lower wall of a fault.
foraminifer,"Any protozoan belonging to the subclass Sarcodina, order Foraminiferida, characterized by the presence of a test of one to many chambers composed of secreted calcite (rarely silica or aragonite) or of agglutinated particles; most foraminifers are marine but freshwater forms are known. Range: Cambrian to Holocene."
fore reef,The seaward side of a reef.
foreshore,The part of the beach face that lies between the berm crest and the low-water line; it is regularly covered and uncovered by the rise and fall of the tide and is shaped by tides and waves.
formation,"Fundamental rock-stratigraphic unit that is mappable, lithologically distinct from adjoining strata, and has definable upper and lower contacts."
fossil,"A remain, trace, or imprint of a plant or animal that has been preserved in the Earth’s crust since some past geologic time; loosely, any evidence of past life."
fracture,"The breaking of a mineral other than along planes of cleavage. Also, any break in a rock such as a crack, joint, or fault."
freeze-thaw,"The mechanical weathering process caused by alternate or repeated cycles of freezing and thawing water in pores, cracks, and other openings of rock and unconsolidated deposits, usually at the surface."
friable,Describes a rock or mineral that is easily crumbled.
frost action,"The mechanical weathering process caused by alternate or repeated cycles of freezing and thawing of water in pores, cracks, and other openings, usually at the surface."
frost heaving,"The uneven lifting or upward movement, and general distortion, of surface soils, rocks, vegetation, and structures such as pavements, due to subsurface freezing of water and growth of ice masses."
frost wedging,A type of frost action by which jointed rock is pried and dislodged by ice acting as a wedge.
fulgurite,"An irregular glassy tube or crust produced by the fusion of loose sand by lightning, occurring primarily on exposed mountain tops or in dune areas."
fumarole,"A vent, usually volcanic, from which gases and vapors are emitted."
gabbro,"A group of dark-colored, coarse-grained intrusive igneous rocks composed of plagioclase, pyroxene, amphibole, and olivine."
garnet,"A hard silicate (silicon + oxygen) mineral with a glassy luster, and commonly well-defined crystal faces; characteristically dark red but occurs in a variety of colors."
gastropod,"Any mollusk belonging to the class Gastropoda, characterized by a distinct head with eyes and tentacles and, in most, by a single calcareous shell that is closed at the apex, sometimes spiraled, not chambered, and generally asymmetrical. Range: Upper Cambrian to Holocene."
geoarchaeology,"The application of concepts and methods of the earth sciences to archaeological problems and vice versa. It provides evidence for the development, preservation, and destruction of archaeological sites, and for regional-scale environmental change and the evolution of the physical landscape, including the impact of human groups."
geodetic surveying,"Surveying that takes into account the figure and size of Earth, with corrections made for curvature; used where the areas or distances involved are so great that the desired accuracy and precision cannot be obtained by plane (ordinary field and topographic) surveying."
geodesy,The science concerned with the determination of the size and shape of the Earth and the precise location of points on its surface.
geology,"The study of Earth, including its origin, history, physical processes, components, and morphology."
geomorphology,"The study of the general configuration of surface landforms and their relationships to underlying structures, and of the history of geologic changes as recorded by these surface features."
geothermal,Pertaining to the heat of the interior of the Earth.
geothermal gradient,The rate of change of temperature with depth in the Earth.
glaciolacustrine,"Pertaining to, derived from, or deposited in glacial lakes, especially referring to deposits and landforms composed of suspended material transported by meltwater streams flowing into lakes bordering a glacier."
glaciomarine,"Describes the accumulation of glacially eroded, terrestrially derived sediment in a marine environment."
glassy,"Describes the texture of certain extrusive igneous rocks that is similar to glass and developed as a result of rapid cooling of the lava, without distinctive crystallization. Synonymous with “vitreous.”"
glauconite,"A greenish silicate (silicon + oxygen) mineral, (K,Na)(Fe,Al,Mg)2(Si,Al)4O10(?H)2, characterized by a micaceous structure, commonly interstratified with smectite; may serve as an indicator of very slow sedimentation."
glaze,The surface of a lava flow that resembles a fired glass surface or ceramics.
gneiss,"A foliated metamorphic rock with alternating bands of dark and light minerals. Varieties are distinguished by texture (e.g., augen gneiss), characteristic minerals (e.g., hornblende gneiss), or general composition (e.g., granite gneiss)."
Gondwana,The late Paleozoic continent of the Southern Hemisphere and counterpart of Laurasia of the Northern Hemisphere; both were derived from the supercontinent Pangaea.
gossan,An iron-bearing weathered product overlying a sulfide deposit.
gradient,"A degree of inclination (steepness of slope), or a rate of ascent or descent, of an inclined part of Earth’s surface with respect to the horizontal; expressed as a ratio (vertical to horizontal), a fraction (such as m/km or ft/mi), a percentage (of horizontal distance), or an angle (in degrees)."
granite,"A coarse-grained, intrusive igneous rock in which quartz constitutes 10%–50% of the felsic (“light-colored”) components and the alkali feldspar/total feldspar ratio is generally restricted to the range of 65% to 90%; perhaps the best known of all igneous rocks."
granitoid,A granitic rock.
graben,"An elongated, downdropped trough or basin, bounded on both sides by high-angle normal faults that dip toward one another."
granoblastic,Describes the texture of a metamorphic rock in which recrystallization formed crystals of nearly the same size in all directions.
granodiorite,"A coarse-grained intrusive igneous rock intermediate in composition between quartz diorite and quartz monzonite, containing quartz, plagioclase, and potassium feldspar as the felsic (“light-colored”) components, with biotite, hornblende, or, more rarely, pyroxene, as the mafic (“dark-colored”) components."
gravel,"An unconsolidated, natural accumulation of typically rounded rock fragments resulting from erosion; consists predominantly of particles larger than sand; that is, greater than 2 mm (1/12 in) across."
graywacke,"A dark gray, firmly indurated, coarse-grained sandstone that consists of poorly sorted angular to subangular grains of quartz and feldspar, with a variety of dark rock and mineral fragments embedded in a compact clayey matrix."
greenschist,"A schistose metamorphic rock whose green color is due to the presence of the mineral chlorite, epidote, or actinolite."
greenstone,"A general term for any compact, dark-green, altered or metamorphosed basic igneous rock with a green color due to chlorite, actinolite, or epidote mineral content."
groundmass,"The finer grained and/or glassy material between the large crystals of an igneous rock. Also, sometimes used for the matrix of a sedimentary rock."
groundwater,"That part of subsurface water that is in the zone of saturation, including underground streams."
groundwater basin,An area of bedrock in a karst spring that collects drainage from all the sinkholes and sinking streams in its drainage area.
group,The formal lithostratigraphic unit next in rank above formation. A group includes two or more associated formations with significant features in common.
grus,"A silica-rich sand derived from the weathering of a parent rock, usually granite."
gully,A small channel produced by running water in unconsolidated material.
gypcrete,A gypsum deposit that forms a cemented layer within a soil profile.
gypsiferous,Gypsum-bearing.
gypsite,"An earthy variety of gypsum containing dirt and sand, occurring in arid regions as an efflorescent deposit over an outcrop of gypsum or in gypsum-bearing strata."
gypsum,"A sulfate (sulfur + oxygen) mineral of calcium and water, CaSO4 • 2H2O."
halide,"A mineral group composed of chlorine or fluorine plus an element or elements, for example, calcium in fluorite, CaF2; and sodium in halite, NaCl."
halite,"A halide (chlorine or fluorine) mineral composed of sodium and chloride, NaCl. Synonymous with “native salt,” “rock salt,” and “common salt.”"
hanging valley,"A tributary glacial valley whose mouth is high above the floor of the main valley, which was eroded by the main body of the glacier."
hanging wall,The upper wall of a fault.
hardground,"A planar surface of rock, generally composed of limestone and colonized by corals and other attached benthos."
hardpan,"A hard, impervious layer of soil lying at or just below the surface; physical characteristics limit root penetration and restrict water movement."
harzburgite,A peridotite composed chiefly of olivine and orthopyroxene.
hawaiite,"An olivine-rich basalt. Also, a pale-green, iron-poor gem variety of olivine from the lavas of Hawaii."
heavy mineral,"A detrital mineral from a sedimentary rock, having a specific gravity higher than a standard (usually 2.85). It is commonly a minor constituent or accessory mineral of the rock and less than 1% in most sands."
helictite,A delicate speleothem that grows in all directions.
hematite,"An oxide mineral composed of oxygen and iron, Fe2O3."
hermatypic,Describes a type of reef-building coral that is incapable of adjusting to conditions lacking sunlight.
heterogeneous,Consisting of dissimilar or diverse ingredients or constituents.
highstand,The interval of time during one or more cycles of relative sea-level change when sea level is above the edge of the continental shelf in a given area.
hinge line,"The axis along which the curvature of a fold is greatest. Also, a line or boundary between a stable region and one undergoing upward or downward movement."
hogback,A ridge resembling in outline the back of a hog with a sharp summit and steep slopes of nearly equal inclination on both flanks.
holocrystalline,Describes an igneous rock texture composed entirely of crystals.
homogeneous,Of uniform structure or composition throughout.
hoodoo,"A bizarrely shaped column, pinnacle, or pillar of rock, commonly produced in a region of sporadic heavy rainfall by differential weathering or erosion of horizontal strata, facilitated by layers of varying hardness and joints."
hornblende,"A silicate (silicon + oxygen) mineral of sodium, potassium, calcium, magnesium, iron, and aluminum; commonly black and occurring in distinct crystals or in columnar, fibrous, or granular forms in hand specimens. The most common mineral of the amphibole group."
horizon (archeology),A period during which the influence of a specific culture spread rapidly over a defined area.
horn,A high pyramidal peak with steep sides formed by the intersection of the walls of three or more cirques.
hornfels,A fine-grained metamorphic rock composed of a mosaic of grains without preferred orientation that have the same or nearly the same diameter in all directions; typically formed by contact metamorphism.
hornito,"A small mound of spatter built on the back of a lava flow, formed by the gradual accumulation of lava clots ejected through an opening in the roof of an underlying lava tube."
horst,"An elongated, uplifted block that is bounded on both sides by normal faults that dip away from one another."
hot spot,"A volcanic center, 100–200 km (60–120 mi) across, persistent for at least a few tens of millions of year, with a surface expression, commonly at the center of a plate, that indicates a rising plume of hot mantle material."
hot-spot track,"A ridge of volcanic rock formed when a lithospheric plate moves over a hot spot. The active hot-spot volcano lies at the end of the track. Extinct volcanoes lie along the track, with the oldest extinct volcano farthest from the active hot spot."
hot spring,A thermal spring whose temperature is above that of the human body.
hurricane,"The term applied in the Northern Hemisphere for an atmospheric low-pressure system with a closed, roughly circular, wind motion that is counterclockwise, and sustained near-surface wind speed equal to or exceeding 64 knots (73 mph)."
hyaloclastite,"A deposit formed by the flow or intrusion of lava or magma into water, ice, or water-saturated sediment, which shatters the lava or magma into small angular fragments."
hydraulic conductivity,The ease with which water moves through spaces or pores in soil or rock.
hydrostatic pressure,The pressure exerted by the water at any given point in a body of water at rest. The hydrostatic pressure of groundwater is generally due to the weight of water at higher levels in the saturated zone.
hydrogeology,"The science that deals with subsurface waters and related geologic aspects of surface waters, including the movement of groundwater; the mechanical, chemical, and thermal interaction of groundwater with the porous medium; and the transport of energy and chemical constituents by the flow of groundwater. Synonymous with “geohydrology.” "
hydrology,"The study of liquid and solid water properties, circulation, and distribution, on and under the Earth’s surface and in the atmosphere."
hydrolysis,"A decomposition reaction involving water, frequently involving silicate (silicon + oxygen) minerals."
hydrothermal,"Of or pertaining to hot water, to the action of hot water, or to the products of this action."
hydrothermal water,"Subsurface water whose temperature is high enough to make it geologically or hydrologically significant, whether or not it is hotter than the rock containing it."
hydrovolcanic,"A term encompassing all volcanic activity that results from the interaction among lava, magmatic heat, or gases and water at or near Earth’s surface."
hypabyssal,Describes an igneous rock or intrusive body formed at shallow depth.
hypersthene,A silicate (silicon + oxygen) mineral of the pyroxene group consisting of magnesium and iron.
iddingsite,"A reddish-brown mixture of silicate (silicon + oxygen) minerals, including iron, calcium, and magnesium, formed by the alteration of olivine; forms rust-colored patches in basic igneous rocks."
igneous,"Describes a rock or mineral that solidified from molten or partly molten material; also, describes processes leading to, related to, or resulting from the formation of such rocks. One of the three main classes or rocks—igneous, metamorphic, and sedimentary."
ignimbrite,A pyroclastic flow deposit.
ilmenite,"Iron titanium oxide. An oxide mineral composed of oxygen, titanium, and iron FeTiO3; it commonly contains considerable magnesium and manganese. A common accessory mineral in basic igneous rocks (e.g., gabbro), and commonly concentrated in mineral sands."
imbrication,Consistent orientation of rocks or their clasts; commonly displayed by pebbles on a streambed that have been tilted by flowing water so that their flat surfaces dip upstream.
incised meander,An old stream meander that has become deepened by rejuvenation and that is more or less closely bordered or enclosed by valley walls. The term is used collectively and includes “entrenched meanders” and “ingrown meanders.”
incision,"Downward erosion by a stream, resulting in a deepened channel and commonly a narrow, steep-walled valley."
indurated,"Describes a rock or soil hardened or consolidated by pressure, cementation, or heat."
induration,"Hardening by heat, pressure, or the introduction of cementing material, especially the process by which relatively consolidated rock is made harder or more compact."
inequant,Describes a mineral grain whose length and width are not the same.
inflation,Process by which a local area of pahoehoe lava swells as a result of injection of lava beneath its surface crust.
ingrown meander,"A continually growing or expanding incised meander formed during a single cycle of erosion by the enlargement of an initial minor meander while the stream was actively downcutting; exhibits a pronounced asymmetric cross profile (a well-developed, steep undercut slope on the outside of the meander, a gentle slip-off slope on the inside) and is produced when the rate of downcutting is slow enough to afford time for lateral erosion."
